nama_species;nama_indonesia
Dremomys everetti;Mantok Kalimantan
Exilisciurus exilis;Sukau Pukang
Exilisciurus whiteheadi;Sukau Tuning
Glyphotes simus;Kerichek Merah
Hyosciurus heinrichi;-
Hyosciurus ileile;Squirrel
Lariscus hosei;Bokol Borneo
Lariscus insignis;Bokol Buut
Lariscus niobe;Bokol Gunung
Lariscus obscurus;Bokol Mentawai
Nannosciurus melanotis;Bajing Pilis
Prosciurillus abstrusus;Tendelango Sulawesi
Prosciurillus leucomus;Tendelango Walacea
Prosciurillus murinus;Tendelango Simsim
Prosciurillus rosenbergii;Bajing Sangihe
Prosciurillus weberi;Tendelango Beting
Ratufa affinis;Jelarang Bilalang
Ratufa bicolor;Jelarang Hitam
Rheithrosciurus macrotis;Papun Babu
Rhinosciurus laticaudatus;Memai Naning
Rubrisciurus rubriventer;Dowu Dowu
Sundasciurus brookei;Tigae Brooki
Sundasciurus fraterculus;Tigae Pagai
 Sundasciurus hippurus;Tigae Tantag
 Sundasciurus jentinki;Tigae Tolikid
 Sundasciurus lowii;Tigae Wahikak
 Sundasciurus tenuis;Tigae Bancirot
 Aeromys tephromelas;Kuvung Buy
 Aeromys thomasi;Kuvung Kalay
 Hylopetes bartelsi;Cukbo Jawa
 Hylopetes lepidus;Cukbo Kecubu
 Hylopetes sagitta;Cukbo Kepul
 Hylopetes sipora;Cukbo Sipora
 Hylopetes spadiceus;Cukbo Pipi-merah
 Hylopetes winstoni;Cukbo Aceh
 Iomys horsfieldi;Cukbo Ekor Merah
 Iomys sipora;Cukbo Sipora
 Petaurillus emiliae;Bajing Terbang Emili
 Petaurillus hosei;Bajing Terbang Hose
 Petaurista elegans;Tando Totol
 Petaurista petaurista;Tando Merah
 Petinomys genibarbis;Kepul Berjambang
 Petinomys hageni;Kepul Hagen
 Petinomys lugens;Kepul Sipora
 Petinomys setosus;Kepul Dada-putih
 Petinomys vordermanni;Kepul Kecil
 Pteromyscus pulverulentus;Pusig Berbedak
 Anisomys imitator;Tikus Gigi Bating
 Bandicota bengalensis;Wirok Kecil
 Bandicota indica;Wirok Besar
 Berylmys bowersi;-
 Bunomys andrewsi;Pangusan Lembah
 Bunomys chrysocomus;Pangusan Kuning
 Bunomys coelestis;Pangusan Lompobatang
 Bunomys fratrorum;Pangusan Minahasa
 Bunomys heinrichi;Pangusan Heinrich
 Bunomys karokophilus;Pangusan Karoko
 Bunomys penitus;Pangusan Lindu
 Bunomys prolatus;Pangusan Sulawesi
 Bunomys torajae;Pangusan Toraja
 Chiropodomys gliroides;Nyingnying Buluh
 Chiropodomys karlkoopmani;Nyingnying Mentawai
 Chiropodomys major;Nyingnying Besar
 Chiropodomys muroides;Nyingnying Kelabu
 Chiropodomys pusillus;Nyingnying Borneo
 Chiruromys vates;Mencit Pohon Kecil
 Brassomys albidens;Mencit Gigi Putih
 Coccymys ruemmleri;Mencit Ekor Berambut
 Conilurus penicillatus;Tikus Kelinci Ekor Sikat
 Crunomys celebensis;Keri-Rawa Mamasa
 Echiothrix leucura;Tarem Minahasai
 Echiothrix centrosa;Tarem Lindu
 Eropeplus canus;Lehio Barambang
 Haeromys margarettae;Ranai Akar
 Haeromys minahassae;Ranai Toreanpasi
 Haeromys pusillus;Ranai Piu-piu
 Gracilimus radix;Parui Mamasa
 Hyorhinomys stuempkei;-
 Halmaheramys bokimekot;Boki Halmahera
 Hyomys dammermani;Ipuzi Mikwol
 Kadarsanomys sodyi;Tikus Gunung Sody
 Komodomys rintjanus;Tikus Komodo
 Lenomys meyeri;Tangkara Tangkara
 Lenomys grovesi;Tangkara Sulawesi
 Lenothrix canus;Tikus Akar Kelabu
 Leopoldamys diwangkarai;Berud Diwangkara
 Leopoldamys edwardsi;Berud Edward
 Leopoldamys sabanus;Berud Boud
 Leopoldamys siporanus;Mondok Sipora
 Lorentzimys nouhuysi;Mencit Kangguru
 Macruromys elegans;Tikus Gigi Kecil Barat
 Macruromys major;Tikus Gigi Kecil Timur
 Mallomys aroaensis;Naikmanung Kuyawage
 Mallomys gunung;Naikmanung Andimbo
 Mallomys istapantap;Naikmanung Amungme
 Mallomys rothschildi;Naikmanung Tumbi
 Mammelomys rattoides;Tuni Gunung
 Margaretamys beccarii;Wangetan Wangetan
 Margaretamys elegans;Wangetan Soma
 Margaretamys parvus;Wangetan Parva
 Margaretamys christinae;Wangetan Christin
 Maxomys alticola;Lesoq-lati Gunung
 Maxomys baeodon;Lesoq-lati Kinabalu
 Maxomys bartelsii;Lesoq-lati Jawa
 Maxomys dollmani;Lesoq-lati Dolman
 Maxomys hellwaldii;Lesoq-lati Rentei
 Maxomys hylomyoides;Lesoq-lati Sumatra
 Maxomys inflatus;Lesoq-lati Kerinci
 Maxomys musschenbroekii;Lesoq-lati Pait
 Maxomys ochraceiventer;Lesoq-lati Kastanye
 Maxomys pagensis;Lesoq-lati Pagai
 Maxomys rajah;Lesoq-lati Coklat
 Maxomys surifer;Lesoq-lati Merah
 Maxomys tajuddinii;Lesoq-lati Tajudin
 Maxomys wattsi;Lesoq-lati Watsi
